k,mean_accuracy,std_accuracy
5,0.8333333333333333,0.16666666666666669
10,0.8333333333333333,0.16666666666666669
15,0.6666666666666666,0.0
20,0.5,0.16666666666666666
30,0.6666666666666666,0.0
40,0.5,0.16666666666666666
50,0.5,0.16666666666666666
