feature,rf_score,gb_score,f_score,mi_score,aggregate_score
hnr,1.0,0.6973873681285897,0.0035360500178670683,0.5026881720430108,0.6104610548507525
mfcc_8_mean,0.3649851632047478,1.0,0.01817181250849084,0.6774193548387095,0.5486137824308644
mdvp_fo,0.5163204747774481,0.7575081213940019,0.049555803979283074,0.6774193548387095,0.5275436106150335
mfcc_6_std,0.6468842729970328,0.6960486167117841,0.034798547064196064,0.5161290322580645,0.5130653827770971
zcr_std,0.9584569732937686,0.2964619810955318,0.01675129843223385,0.596774193548387,0.4991807847129142
nhr,0.5934718100890208,0.3831928332282917,0.15380430125084021,0.6236559139784946,0.44849143604106073
spectral_entropy_std,0.45103857566765587,0.5053500734126666,0.01634841700461895,0.4623655913978494,0.3826593964045904
mfcc_5_mean,0.2670623145400593,0.8632015320501726,0.0048977872194928005,0.09946236559139791,0.3599511845392477
stft_energy_mean,0.5163204747774481,0.0,1.0,0.0,0.3548961424332344
ste_mean,0.3115727002967359,0.016107956143566703,1.0,0.2741935483870967,0.3531429066095101
f0_std,0.6854599406528191,0.24434328660906837,0.0013047553443680134,0.2069892473118279,0.3205997687098054
mfcc_3_mean,0.2017804154302671,0.15399760256053105,0.038891571336861705,1.0,0.3145117196646118
spectral_flux_mean,0.39169139465875374,0.15074617837349374,0.2542946043098465,0.4354838709677418,0.3006869669651919
mfcc_13_mean,0.5875370919881305,0.0,0.021256856480664815,0.596774193548387,0.29986733760224954
dct_energy_mean,0.14243323442136496,7.75082493577032e-06,0.9999999999996906,0.032258064516129024,0.24918390847705413
ppe,0.39169139465875374,0.0008770073907393673,0.0074304052700053845,0.596774193548387,0.2386114403785264
mfcc_10_std,0.4421364985163206,0.036744077020929036,0.005011825591390606,0.34139784946236545,0.21294610767192607
f0_range,0.4427299703264096,0.0003868683927460757,0.003556300433482348,0.38172043010752676,0.2099903977239485
mfcc_2_std,0.29970326409495546,0.023183306486044785,0.017165164626753878,0.543010752688172,0.20890115463728526
mdvp_fhi,0.19228486646884277,1.7079280000829132e-07,0.03512671868410426,0.7043010752688172,0.20557106996907715
spectral_entropy_mean,0.5608308605341246,0.09241852482848766,0.03559311474751732,0.0,0.20309343855828713
shimmer_apq5,0.4451038575667656,0.2009300419444949,0.0057183425464550006,0.0188172043010752,0.1987172792228842
mfcc_1_mean,0.21602373887240361,0.3996435390335708,0.006490071052594343,0.0,0.18599819758231118
f0_cv,0.46290801186943614,0.0,0.0012720039949617717,0.2069892473118279,0.18052465382218877
mfcc_9_std,0.5875370919881305,5.853287399458341e-08,0.0015987129580520782,0.0,0.17658088774791178
mdvp_flo,0.23442136498516317,0.0,0.024267844506516117,0.48924731182795694,0.17302944076244356
mdvp_ppq,0.5103857566765578,9.887398983114684e-05,0.0015635230541372381,0.09408602150537632,0.1722752981118194
rpde,0.45103857566765587,0.0008545826839359363,0.0010427958806291876,0.15322580645161288,0.16642166797192595
mfcc_1_std,0.13056379821958455,0.191550550539941,0.012379999278170987,0.2741935483870967,0.1539490141609112
mfcc_9_mean,0.5074183976261127,0.0008577827288984136,0.003844899275431278,0.0,0.1532518339615896
ste_std,0.32047477744807124,9.794976341971762e-12,0.018971390932424618,0.26075268817204295,0.15208724905825338
mfcc_4_mean,0.12462908011869438,0.025933995028569905,0.02341790172052759,0.4354838709677418,0.1369492770818332
spread2,0.4451038575667656,1.593783725864149e-05,0.0010971515394817806,0.0,0.13375536892910364
zcr_mean,0.39169139465875374,1.963737882901374e-11,0.0416846307419791,0.032258064516129024,0.13229595745513895
mfcc_11_std,0.3264094955489614,0.0,0.0018104554553767566,0.15322580645161288,0.12893010104608635
mfcc_8_std,0.2611275964391691,0.0,0.000345846901121098,0.2473118279569892,0.1278698139033728
mfcc_7_std,0.2670623145400593,9.275944885724253e-06,0.012391087157520025,0.2069892473118279,0.12399754403935309
shimmer_apq3,0.2670623145400593,5.011940173965867e-06,0.005360432137937803,0.2069892473118279,0.12259013383402312
jitter_ddp,0.32047477744807124,0.00010197321836863565,0.0019737969943720963,0.11290322580645162,0.1191484297600967
mdvp_jitter_percent,0.2017804154302671,0.0,0.0022481284668312024,0.2069892473118279,0.10238159978481196
d2,0.19584569732937687,0.0032082476317523844,0.00127200399496177,0.2069892473118279,0.1013684337496967
mdvp_jitter_abs,0.19584569732937687,3.1957364358695444e-06,0.002677974567047457,0.2069892473118279,0.1006881122955189
spectral_rolloff_mean,0.32047477744807124,0.0,0.00590500248810966,0.0,0.0973234337320433
mdvp_shimmer_percent,0.21661721068249257,0.0005026713418761666,0.007097429520849285,0.15322580645161288,0.09720061180180306
mfcc_13_std,0.32047477744807124,0.0,0.001189081268551957,0.0,0.09638024948813176
mfcc_4_std,0.09792284866468844,3.470782181702689e-08,0.007291974655653894,0.30913978494623645,0.09266321693213114
mdvp_apq,0.1756676557863501,3.1153033542304254e-09,0.0057183425464550006,0.1801075268817203,0.0898654715561311
mdvp_rap,0.13649851632047477,4.483250574749766e-08,0.002274678126908578,0.2069892473118279,0.08280235343364145
mfcc_5_std,0.24925816023738875,0.00873762723508184,0.005744925687642138,0.0,0.0785477213792696
mfcc_2_mean,0.07121661721068248,0.0,0.02302642082777886,0.19354838709677413,0.06467994674811534
mfcc_11_mean,0.09792284866468844,0.0,0.0004821422480575299,0.1666666666666666,0.06280661638235135
shimmer_dda,0.0801186943620178,4.941370633822604e-07,0.010903964245577777,0.17473118279569883,0.06116278595797968
mfcc_7_mean,0.19584569732937687,0.0,0.0009459147726245056,0.0,0.05894289215333796
mfcc_3_std,0.0,0.011956251790161564,0.006293059141175058,0.26075268817204295,0.05699602499969207
spectral_centroid_mean,0.12462908011869438,0.0,0.02336313295585631,0.059139784946236555,0.05388930761602689
mdvp_shimmer_db,0.14243323442136496,0.00952294790677967,0.00832008321556948,0.0,0.04725087134155728
spread1,0.0,0.07183511401340154,0.0013047553443680134,0.11290322580645162,0.044392130434184385
mfcc_10_mean,0.07121661721068248,0.004399738575479676,0.003126419655896848,0.0994623655913978,0.04320266378530758
dfa,0.12462908011869438,0.0,0.005775379372183365,0.0,0.03854379991004499
mfcc_12_std,0.12462908011869438,0.0,0.002492846830128436,0.0,0.037887293401634
mfcc_6_mean,0.07121661721068248,0.0,0.0006908117054243968,0.0,0.021503147504289624
mfcc_12_mean,0.07121661721068248,0.0,0.0,0.0,0.021364985163204744
spectral_spread_mean,0.06528189910979228,0.0,0.0003518467631029921,0.0,0.019654939085558282
