feature,importance
hnr,0.05106060606060605
zcr_std,0.04893939393939393
f0_std,0.034999999999999996
mfcc_6_std,0.03303030303030303
nhr,0.030303030303030297
mfcc_9_std,0.029999999999999992
mfcc_13_mean,0.029999999999999992
spectral_entropy_mean,0.028636363636363626
stft_energy_mean,0.02636363636363636
mdvp_fo,0.02636363636363636
mdvp_ppq,0.02606060606060605
mfcc_9_mean,0.025909090909090902
f0_cv,0.02363636363636363
spectral_entropy_std,0.02303030303030303
rpde,0.02303030303030303
shimmer_apq5,0.022727272727272724
spread2,0.022727272727272724
f0_range,0.022606060606060605
mfcc_10_std,0.022575757575757575
zcr_mean,0.019999999999999997
spectral_flux_mean,0.019999999999999997
ppe,0.019999999999999997
mfcc_8_mean,0.01863636363636363
mfcc_11_std,0.016666666666666663
ste_std,0.01636363636363636
mfcc_13_std,0.01636363636363636
jitter_ddp,0.01636363636363636
spectral_rolloff_mean,0.01636363636363636
ste_mean,0.015909090909090904
mfcc_2_std,0.0153030303030303
shimmer_apq3,0.013636363636363632
mfcc_5_mean,0.013636363636363632
mfcc_7_std,0.013636363636363632
mfcc_8_std,0.013333333333333329
mfcc_5_std,0.012727272727272726
mdvp_flo,0.011969696969696965
mdvp_shimmer_percent,0.011060606060606057
mfcc_1_mean,0.011030303030303031
mfcc_3_mean,0.010303030303030302
mdvp_jitter_percent,0.010303030303030302
mdvp_jitter_abs,0.009999999999999998
mfcc_7_mean,0.009999999999999998
d2,0.009999999999999998
mdvp_fhi,0.009818181818181818
mdvp_apq,0.008969696969696966
mdvp_shimmer_db,0.00727272727272727
dct_energy_mean,0.00727272727272727
mdvp_rap,0.006969696969696968
mfcc_1_std,0.0066666666666666645
dfa,0.006363636363636363
mfcc_4_mean,0.006363636363636363
spectral_centroid_mean,0.006363636363636363
mfcc_12_std,0.006363636363636363
mfcc_11_mean,0.004999999999999999
mfcc_4_std,0.004999999999999999
shimmer_dda,0.0040909090909090895
mfcc_10_mean,0.003636363636363635
mfcc_2_mean,0.003636363636363635
mfcc_6_mean,0.003636363636363635
mfcc_12_mean,0.003636363636363635
spectral_spread_mean,0.0033333333333333322
spread1,0.0
mfcc_3_std,0.0
