feature,importance
mfcc_8_mean,0.14602523863888286
mfcc_5_mean,0.12604920971107575
mdvp_fo,0.11061530419745098
hnr,0.10183615685471976
mfcc_6_std,0.10164066535960259
spectral_entropy_std,0.07379386506626161
mfcc_1_mean,0.05835804315786488
nhr,0.055955824916870935
zcr_std,0.04329093153683101
f0_std,0.03568028673689816
shimmer_apq5,0.029340857324665612
mfcc_1_std,0.027971214854004275
mfcc_3_mean,0.022487536663717386
spectral_flux_mean,0.022012746670889028
spectral_entropy_mean,0.01349543714273343
spread1,0.010489739666458319
mfcc_10_std,0.005365562615546654
mfcc_4_mean,0.003787017812906522
mfcc_2_std,0.0033853478620630506
ste_mean,0.0023521681398489874
mfcc_3_std,0.0017459145208849128
mdvp_shimmer_db,0.0013905907406331515
mfcc_5_std,0.001275914102140428
mfcc_10_mean,0.0006424728754331183
d2,0.0004684851260392727
ppe,0.0001280652135207801
mfcc_9_mean,0.000125257927687703
rpde,0.0001247906403584021
mdvp_shimmer_percent,7.34027026543947e-05
f0_range,5.649254937258676e-05
jitter_ddp,1.4890663547054935e-05
mdvp_ppq,1.4438097960271696e-05
spread2,2.3273264890808023e-06
mfcc_7_std,1.354522065539009e-06
dct_energy_mean,1.131816060894065e-06
shimmer_apq3,7.318697599471698e-07
mdvp_jitter_abs,4.6665817567482323e-07
shimmer_dda,7.215648260071136e-08
mdvp_fhi,2.4940059379013736e-08
mfcc_9_std,8.547276893278704e-09
mdvp_rap,6.546677350557433e-09
mfcc_4_std,5.068217963467177e-09
mdvp_apq,4.5491291573401013e-10
zcr_mean,2.8675529297488773e-12
ste_std,1.4303137577986386e-12
dfa,0.0
mdvp_jitter_percent,0.0
f0_cv,0.0
mdvp_flo,0.0
mfcc_2_mean,0.0
stft_energy_mean,0.0
spectral_rolloff_mean,0.0
spectral_spread_mean,0.0
spectral_centroid_mean,0.0
mfcc_6_mean,0.0
mfcc_8_std,0.0
mfcc_7_mean,0.0
mfcc_11_mean,0.0
mfcc_11_std,0.0
mfcc_12_mean,0.0
mfcc_12_std,0.0
mfcc_13_mean,0.0
mfcc_13_std,0.0
