feature,rf_score,gb_score,f_score,mi_score,aggregate_score
mfcc_4_std,0.08549222797927461,0.6444352868140514,1.0,0.7602739726027398,0.5710330489585458
mfcc_13_std,0.27979274611398963,1.0,0.005190921198292416,0.31506849315068497,0.44798970670399235
spectral_entropy_std,0.5077720207253886,0.30722380967304036,0.016455669772697492,0.8630136986301369,0.4203926228000956
spectral_flux_mean,0.34196891191709844,1.4808619470404945e-06,0.6216363538808487,0.9657534246575342,0.4200690735413902
mfcc_2_std,0.5025906735751295,0.013944674381014982,0.03849540072365151,1.0,0.3626596845315737
zcr_std,1.0,0.12286198277005152,0.01593044946166217,0.07534246575342453,0.3551131778740328
stft_energy_mean,0.4507772020725389,0.0,0.8734771764013473,0.041095890410958895,0.31814777398422295
nhr,0.39896373056994816,0.08094135225493174,0.008463349559219178,0.8458904109589042,0.3148422769510887
mdvp_fhi,0.27979274611398963,0.37923139041972886,0.010727016904991666,0.5547945205479452,0.3108115484507029
f0_std,0.6917098445595855,0.14697341355322377,0.0012001570159493593,0.26369863013698625,0.3045847348644299
mfcc_5_mean,0.2797927461139896,0.5192189951703706,0.00947226086768465,0.2808219178082192,0.29776235812048885
dct_energy_mean,0.0621761658031088,4.662150593423885e-06,0.8734771764013469,0.4520547945205479,0.28376064257048966
ste_mean,0.272020725388601,0.012199641938345511,0.8734771764013473,0.041095890410958895,0.2681807235605452
mfcc_7_std,0.233160621761658,5.579516027250918e-06,0.015333522258159602,0.9657534246575342,0.26616724976644435
shimmer_apq5,0.5362694300518135,0.12086018224524793,0.0020966912442954063,0.26369863013698625,0.25029794796537475
mfcc_3_mean,0.1761658031088083,0.03088754640770133,0.05307548143731087,0.8630136986301369,0.24533384086844245
mfcc_10_mean,0.3316062176165804,0.10172144915260868,0.014436533988412345,0.4863013698630137,0.23014588080104192
mfcc_1_mean,0.28963730569948193,0.10191903749995863,0.004650848478302913,0.5376712328767124,0.22593131923083523
mfcc_9_std,0.5181347150259067,3.520774569030196e-08,0.0018224166669355323,0.3253424657534247,0.22087340155416774
zcr_mean,0.34196891191709844,0.0,0.03607459203608875,0.4863013698630137,0.20706586595495002
mdvp_fo,0.45595854922279794,0.0,0.003825228482314134,0.33219178082191775,0.20399096662768573
rpde,0.5025906735751295,0.0005140347253431715,0.0006897895432156504,0.26369863013698625,0.20380909642618217
mfcc_9_mean,0.6217616580310882,0.0,0.0007915014484916158,0.041095890410959166,0.1949059757812166
f0_cv,0.34196891191709844,0.0,0.0013909942791924732,0.434931506849315,0.18985517380083103
spectral_entropy_mean,0.5518134715025906,0.05556894978665881,0.0323458302234407,0.0,0.18868389243146297
mfcc_11_mean,0.2564766839378238,4.06513287358011e-12,0.0027259633935236213,0.5376712328767123,0.18502244443661386
ste_std,0.27979274611398963,1.8265825430006484e-12,0.01901786042975259,0.4863013698630137,0.18500166989329814
jitter_ddp,0.27979274611398963,0.012109024909857635,0.0010876473346026917,0.4691780821917808,0.1816236772124309
mdvp_ppq,0.2849740932642487,5.94730798573578e-05,0.0011654125241508085,0.4691780821917808,0.17957876884641816
ppe,0.34196891191709844,0.0007162545728546182,0.007176279640261068,0.3150684931506849,0.16725450450517512
mdvp_jitter_percent,0.23523316062176164,0.0,0.0009854938491992106,0.4691780821917808,0.1646026633947245
mdvp_rap,0.22797927461139894,0.0,0.0011597071239843738,0.4691780821917808,0.16246134024657272
mfcc_12_mean,0.21295336787564767,0.1842733566617677,0.0018248681808712178,0.2123287671232876,0.16199874442205636
mdvp_shimmer_percent,0.3523316062176166,0.0,0.002633982041561128,0.26369863013698625,0.15896600430099445
d2,0.233160621761658,0.0019297731175937861,0.001390994279192473,0.434931506849315,0.15779161868947703
mfcc_6_std,0.5181347150259067,0.0,0.004726247679019371,0.006849315068493126,0.1577555270572745
mdvp_jitter_abs,0.17098445595854922,1.922247585822267e-06,0.0012647750023375027,0.4691780821917808,0.1453844849006642
mfcc_2_mean,0.0,0.0,0.03166653277973309,0.6917808219178082,0.14468947093950826
hnr,0.0621761658031088,0.09097527584441643,0.0012767155371604263,0.4691780821917808,0.1400363920400458
