feature,mi_score
mfcc_2_std,0.8111111111111111
spectral_flux_mean,0.7833333333333333
mfcc_7_std,0.7833333333333333
mfcc_3_mean,0.7
spectral_entropy_std,0.7
nhr,0.6861111111111111
mfcc_4_std,0.6166666666666667
mfcc_2_mean,0.5611111111111111
mdvp_fhi,0.44999999999999996
mfcc_1_mean,0.4361111111111111
mfcc_11_mean,0.43611111111111106
ste_std,0.39444444444444443
zcr_mean,0.39444444444444443
mfcc_10_mean,0.39444444444444443
mfcc_4_mean,0.39444444444444443
hnr,0.38055555555555554
jitter_ddp,0.38055555555555554
mdvp_jitter_abs,0.38055555555555554
mdvp_rap,0.38055555555555554
mdvp_ppq,0.38055555555555554
mdvp_jitter_percent,0.38055555555555554
dct_energy_mean,0.36666666666666664
f0_cv,0.3527777777777777
d2,0.3527777777777777
dfa,0.28333333333333327
mdvp_fo,0.2694444444444444
mfcc_9_std,0.2638888888888889
mfcc_8_std,0.2555555555555556
mfcc_13_std,0.2555555555555556
ppe,0.25555555555555554
mdvp_flo,0.25555555555555554
mfcc_1_std,0.2277777777777778
mfcc_5_mean,0.2277777777777778
f0_range,0.2277777777777777
shimmer_apq3,0.21388888888888885
spread1,0.21388888888888885
f0_std,0.21388888888888885
shimmer_apq5,0.21388888888888885
mdvp_shimmer_percent,0.21388888888888885
rpde,0.21388888888888885
mfcc_3_std,0.18055555555555547
mfcc_12_mean,0.17222222222222217
mdvp_apq,0.15833333333333333
shimmer_dda,0.0888888888888889
zcr_std,0.061111111111111005
spectral_rolloff_mean,0.05555555555555547
spread2,0.047222222222222165
mfcc_9_mean,0.03333333333333355
stft_energy_mean,0.033333333333333326
ste_mean,0.033333333333333326
spectral_centroid_mean,0.033333333333333326
mfcc_6_std,0.005555555555555536
mdvp_shimmer_db,0.0
spectral_entropy_mean,0.0
spectral_spread_mean,0.0
mfcc_5_std,0.0
mfcc_8_mean,0.0
mfcc_6_mean,0.0
mfcc_7_mean,0.0
mfcc_11_std,0.0
mfcc_10_std,0.0
mfcc_12_std,0.0
mfcc_13_mean,0.0
