feature,f_score
mfcc_4_std,592.0385507845272
stft_energy_mean,517.1450611223918
ste_mean,517.1450611223918
dct_energy_mean,517.1450611223916
spectral_flux_mean,368.0712616174661
mfcc_3_mean,31.51927351357279
mfcc_2_std,22.888790149833085
zcr_mean,21.45582489297867
spectral_entropy_mean,19.24863431403639
mfcc_2_mean,18.846533296758963
mfcc_4_mean,15.696023380668619
dfa,12.840357052244128
spectral_centroid_mean,12.517866648403396
ste_std,11.359321227512277
spectral_entropy_std,9.842666808738942
zcr_std,9.531769685073371
mfcc_7_std,9.178426627488914
mdvp_flo,8.903941432483713
mfcc_10_mean,8.647466443415942
mfcc_1_std,6.7061161438293775
mdvp_fhi,6.4516675240054875
mfcc_5_mean,5.708931505035108
nhr,5.111719978281172
ppe,4.3498561901657045
mfcc_7_mean,3.3697039902513657
mfcc_13_std,3.1746498699141243
mfcc_3_std,3.128756109043601
spectral_rolloff_mean,3.0595904074921147
f0_range,2.933192814863466
mfcc_6_std,2.899592608132351
mfcc_1_mean,2.8549610618328143
mdvp_fo,2.366246370872532
mdvp_shimmer_db,1.7739758487415593
mfcc_11_mean,1.715551134853825
mdvp_shimmer_percent,1.6611040063723705
shimmer_dda,1.5749808836043917
shimmer_apq3,1.5396895912656314
mdvp_apq,1.3430619201616951
shimmer_apq5,1.3430619201616951
mfcc_12_mean,1.1821599009729122
mfcc_9_std,1.1807087601559696
mfcc_5_std,1.1689052702385818
f0_cv,0.9253340600232687
d2,0.9253340600232685
mfcc_8_mean,0.877586543126594
hnr,0.857688290338833
mdvp_jitter_abs,0.8506202507876629
spread1,0.8123704998107178
f0_std,0.8123704998107178
mdvp_ppq,0.791803963565959
mdvp_rap,0.7884267284060904
jitter_ddp,0.7457719018885282
mdvp_jitter_percent,0.6853035153523129
spread2,0.6392420200569943
mfcc_9_mean,0.5704723138055133
rpde,0.5102653147073465
mfcc_6_mean,0.42567111620319253
mfcc_8_std,0.4002712929356663
mfcc_10_std,0.37367985796715153
mfcc_12_std,0.28789721977982136
mfcc_13_mean,0.27285075080025634
spectral_spread_mean,0.11924631694346315
mfcc_11_std,0.10195363975022435
