feature,importance
zcr_std,0.05848484848484847
f0_std,0.040454545454545444
mfcc_9_mean,0.03636363636363636
spectral_entropy_mean,0.032272727272727265
shimmer_apq5,0.03136363636363636
mfcc_6_std,0.030303030303030297
mfcc_9_std,0.030303030303030297
spectral_entropy_std,0.02969696969696969
mfcc_2_std,0.02939393939393939
rpde,0.02939393939393939
mdvp_fo,0.02666666666666666
stft_energy_mean,0.02636363636363636
nhr,0.023333333333333327
mdvp_shimmer_percent,0.020606060606060603
ppe,0.019999999999999997
zcr_mean,0.019999999999999997
f0_cv,0.019999999999999997
spectral_flux_mean,0.019999999999999997
mfcc_10_mean,0.019393939393939394
mdvp_apq,0.018969696969696963
mfcc_1_mean,0.016939393939393938
mdvp_ppq,0.016666666666666663
mfcc_10_std,0.016666666666666663
ste_std,0.01636363636363636
spread2,0.01636363636363636
mdvp_fhi,0.01636363636363636
jitter_ddp,0.01636363636363636
mfcc_13_std,0.01636363636363636
mfcc_5_mean,0.016363636363636358
ste_mean,0.015909090909090904
mfcc_11_mean,0.014999999999999996
mdvp_jitter_percent,0.013757575757575753
mfcc_7_std,0.013636363636363632
shimmer_apq3,0.013636363636363632
d2,0.013636363636363632
f0_range,0.01333333333333333
mdvp_rap,0.013333333333333329
mfcc_12_mean,0.012454545454545453
mdvp_shimmer_db,0.012272727272727267
dfa,0.011363636363636362
mfcc_12_std,0.010454545454545452
mfcc_11_std,0.010303030303030302
mfcc_3_mean,0.010303030303030302
mdvp_jitter_abs,0.009999999999999998
mfcc_7_mean,0.009999999999999998
mfcc_8_std,0.009696969696969695
spectral_spread_mean,0.009696969696969695
mfcc_8_mean,0.008636363636363633
mfcc_6_mean,0.007727272727272725
mfcc_1_std,0.0066666666666666645
mfcc_5_std,0.006363636363636363
mfcc_4_mean,0.006363636363636363
spectral_centroid_mean,0.006363636363636363
spectral_rolloff_mean,0.006363636363636363
mdvp_flo,0.004999999999999999
mfcc_4_std,0.004999999999999999
dct_energy_mean,0.003636363636363635
shimmer_dda,0.003636363636363635
hnr,0.003636363636363635
spread1,0.0
mfcc_3_std,0.0
mfcc_2_mean,0.0
mfcc_13_mean,0.0
