feature,combined_score,rank,f_classif_score,t_test_score,mutual_info_score
mfcc_delta_8_std,0.0,69,0.0,0.0,0.0
mfcc_delta2_6_mean,0.0,93,0.0,0.0,0.0
mfcc_delta_7_std,0.0,92,0.0,0.0,0.0
mfcc_delta2_7_mean,0.0,94,0.0,0.0,0.0
mfcc_delta_3_std,0.0,84,0.0,0.0,0.0
mfcc_delta_5_std,0.0,87,0.0,0.0,0.0
mfcc_delta_5_mean,0.0,89,0.0,0.0,0.0
mfcc_delta2_4_std,0.0,88,0.0,0.0,0.0
mfcc_delta2_5_mean,0.0,86,0.0,0.0,0.0
mfcc_delta2_2_std,0.0,80,0.0,0.0,0.0
mfcc_delta2_13_std,0.0,95,0.0,0.0,0.0
mfcc_delta2_11_std,0.0,73,0.0,0.0,0.0
mfcc_delta_12_mean,0.0,75,0.0,0.0,0.0
mfcc_delta_11_std,0.0,99,0.0,0.0,0.0
mfcc_delta2_11_mean,0.0,98,0.0,0.0,0.0
chroma_mean,0.0,96,0.0,0.0,0.0
chroma_std,0.0,97,0.0,0.0,0.0
tonnetz_std,0.0,62,0.0,0.0,0.0
tonnetz_mean,0.0,61,0.0,0.0,0.0
contrast_std,0.0,60,0.0,0.0,0.0
contrast_mean,0.0,74,0.0,0.0,0.0
f0_max,0.0,59,0.0,0.0,0.0
f0_std,0.0,63,0.0,0.0,0.0
f0_range,0.0,64,0.0,0.0,0.0
hnr_approx,0.0,58,0.0,0.0,0.0
