feature,rf_score,gb_score,f_score,mi_score,aggregate_score
mfcc_3_mean,1.0,1.0,0.22830816757648958,0.9916399808715701,0.843989629689612
spectral_centroid_std,0.6536368171437591,0.392321859871421,0.032404842220667356,0.8257182849893993,0.48541222854656735
mfcc_10_mean,0.29462279201051333,0.5543593357011103,0.08884350686164998,0.7691938052292648,0.42630210073167
ste_mean,0.10761922460702855,5.298266995937265e-05,0.994341728699454,0.7554694404934259,0.3822638960216724
mdvp_fo,0.6366595439129368,0.03631455345688542,0.009009406573851417,0.7622967894483104,0.356153468415379
mdvp_fhi,0.12347941732435493,0.0002581360290096861,1.0,0.5402686147624263,0.3451749889584947
spectral_rolloff_mean,0.6304450931187615,0.0016568263601686203,0.09004236525715505,0.6595846655454062,0.33955598200419124
energy_entropy,0.6188591842534631,2.1725786524876888e-06,0.03905692123880532,0.626771590466319,0.3188241093906595
spectral_flux_mean,0.0700101369253352,0.22213029053846062,0.4319227550762558,0.5438448451673661,0.28279564828786313
f0_range,0.23711198363238115,0.004631297248038362,0.5151929128613442,0.512471551160397,0.27805587706847407
mfcc_4_mean,0.3488961164033509,6.780297031849519e-05,0.08714375530092082,0.7692170275046216,0.2759613323732093
spectral_spread_std,0.3487032523772226,0.0009600127686608059,0.034024390921350685,0.7318291641802548,0.25806969056408613
spectral_spread_mean,0.4211242605299616,0.007790947350376663,0.08422703041611866,0.5292380339679703,0.2513675752409193
spectral_flux_std,0.32367082348631737,0.11632611276997079,0.049229764808971815,0.5207619034627565,0.2459974145312321
num_amplitudes,0.26526648082046544,3.44561818370572e-07,0.03870505904843068,0.7919284128035228,0.24570674198507586
num_voiced_frames,0.12274255699013233,0.0,0.03686563660080715,1.0,0.24419589441720113
mfcc_1_mean,0.26937966342856606,0.04750045316334742,0.01187065025034428,0.7005052378076106,0.23753921258916505
d2,0.45479893660872606,2.6017794232411907e-06,0.015719353695416143,0.4822551486893828,0.23603536199340455
ste_std,0.16658341533278967,0.05786853013910148,0.25325931441108035,0.5730816898415138,0.23260378449208619
nhr,0.3185021863106135,1.9187973485223668e-06,0.04197473499924059,0.63819694994184,0.23158556852060472
mfcc_2_std,0.33837998432279903,1.5775499576932806e-06,0.035008463404296045,0.596119648537215,0.2277400909501292
voiced_ratio,0.21894782477302496,7.704287436899411e-07,0.00998172708325812,0.7459062476718618,0.21686217351155457
spectral_entropy_std,0.30194304272202316,2.253303264258869e-12,0.013428013073700165,0.5750831901476114,0.20828515346154525
spectral_centroid_mean,0.2557898212990795,0.013094653722109398,0.050931847788134976,0.4954264010485428,0.18993699227369223
mfcc_4_std,0.2876610405619279,1.426242057579226e-05,0.02899192395663059,0.488993830774723,0.18989974184102185
mfcc_12_mean,0.03812697798085345,0.17998260505933283,0.029972051171731875,0.5761005856378909,0.18664740227398047
spectral_rolloff_std,0.15828519367664332,0.0,0.030840503303921404,0.6300241705580695,0.17965849287539115
ste_max,0.11704991495366088,0.002747761476702429,0.06568575620373346,0.5938424040104481,0.1678449349719453
hnr,0.08154357708808896,0.02775614576190498,0.053844055671951205,0.6129078920783396,0.16614030640505634
zcr_max,0.17084616577238684,2.0112476748835594e-06,0.03867011154772819,0.511962122644354,0.16138089994443497
mfcc_11_mean,0.15232974847490513,0.010497419683924283,0.017794064912289152,0.5442860683991444,0.16126417710993554
mfcc_13_mean,0.19428323872646694,0.00044873375870998854,0.015931216734732672,0.4865322695869077,0.15891228900988116
f0_cv,0.13226090859646525,4.185206666534651e-06,0.015719353695416126,0.5131407749138599,0.14545155386279474
mfcc_5_mean,0.1751553273218185,5.7780944246671587e-08,0.02631984360725739,0.41686122128477526,0.14118282850923536
spread2,0.09622337078739046,0.09263266044870974,0.010396821629899864,0.4089045876947105,0.14051709123575215
f0_std,0.1648976460334772,0.00812139772155629,0.020543116191438355,0.41921527795310726,0.13985739195541919
num_periods,0.12947365624517093,9.38652022229574e-10,0.03870505904843068,0.45413719546424197,0.13741054805768144
ste_min,0.15704407234361437,2.6068006245277713e-06,0.0052251623361547934,0.4222530113994245,0.13260963849038754
zcr_std,0.1282222985211832,4.836524789427847e-07,0.011905643403743655,0.4367698565810047,0.1282019346490483
spread1,0.19319908833062338,1.1706181287899793e-06,0.020543116191438355,0.31385370354359227,0.12483944163163177
spectral_entropy_mean,0.07562548929169284,2.5454158400384237e-10,0.003691938856367738,0.5036050265995357,0.12414703995505101
mfcc_3_std,0.047039778028325686,2.998005879850627e-06,0.01713230553685816,0.5319085956339967,0.12392101304443265
mfcc_5_std,0.08607374768067672,0.02175486293696929,0.008708290237179648,0.41114854154701497,0.11631994954213273
ppe,0.12496812317072521,0.016770414260731135,0.031074381886248517,0.3315679150153754,0.1150500206097617
mfcc_2_mean,0.05165341549541525,6.47679096390303e-08,0.02238635112094251,0.47452635322746817,0.11487858494867961
mfcc_6_std,0.12764921915815877,3.6579687873362194e-15,0.01807913490373558,0.35829886506693587,0.11357036574158302
mdvp_shimmer_db,0.04069663039032718,0.0,0.0005530934519462272,0.4986551092908005,0.1120506296656475
shimmer_apq3,0.18441665237612256,1.7037696124183635e-06,0.004650082348336005,0.27097888749367355,0.1104513008121224
zcr_min,0.1528308331738358,0.0,0.005088805211336131,0.3069602604203851,0.10825906307849499
mfcc_8_std,0.056861270144129956,0.0,0.009128834641466303,0.443829428289456,0.10765003362942345
mdvp_shimmer_percent,0.08668503192485669,0.0,0.0005205677780781981,0.3974292110107288,0.10559546533521842
zcr_mean,0.05123144141698838,6.362137367671161e-06,0.003413402983657323,0.43416473950916534,0.10288696956487135
mfcc_7_std,0.11188747202451754,1.8022351919003448e-05,0.012514339859442931,0.32971516718638844,0.10201754972209723
dfa,0.09983288275396199,0.0,0.00845854041769073,0.2803121310711457,0.08770399912395589
mfcc_9_std,0.03233984739447391,0.0,0.006268002594142035,0.3617133515120482,0.08329822503958022
mfcc_1_std,0.0,1.9239755284241845e-11,0.012566039014856303,0.37332237807448104,0.0771776834236394
shimmer_dda,0.14636147233386324,0.0,0.0011257535606115036,0.15953664959843805,0.07604092233196888
rpde,0.081238428532653,8.541009889176801e-11,0.0043557159246522285,0.1947148241061657,0.06418563659158252
mfcc_13_std,0.019901444550445485,0.0,0.00462076627941318,0.2564453157780955,0.05818364977663538
mfcc_9_mean,0.0,0.0,0.0068342482860956595,0.279412146105921,0.05724927887840334
mfcc_10_std,0.053733900286202806,0.0,0.003123951015659681,0.1349871318886065,0.04374238666671408
jitter_ddp,0.0,0.0,0.002651286356068819,0.21212519727590431,0.04295529672639463
mdvp_apq,0.05543973839052671,6.872997060798977e-14,0.0038049882189166765,0.10038529203291312,0.03746997756754459
mfcc_8_mean,0.0,0.0,0.015506883015857991,0.15677888260467343,0.034457153124106285
shimmer_apq5,0.06154547249069345,5.205377340949844e-07,0.0038049882189166765,0.07538350833099389,0.03430149721851038
mdvp_jitter_percent,0.08801390046878835,0.0,0.0018406679975894976,0.0,0.026772303740154404
mfcc_7_mean,0.06467969478894783,0.0,0.004089055014034968,0.026496234079619048,0.025520966255415153
mdvp_flo,0.0,0.0,0.0008752305455448174,0.09029204671649353,0.01823345545240767
mfcc_12_std,0.053733900286202806,0.0,0.0008593674275052426,0.002197939166828902,0.016731631404727672
mdvp_ppq,0.04619978199210558,0.0,0.002077931632129545,0.0,0.014275520924057584
mdvp_rap,0.031524605496644584,0.0,0.001967836474649199,0.0,0.009850948943923216
mdvp_jitter_abs,0.0,0.0,0.0007763193450925675,0.04371936750469658,0.00889913736995783
mfcc_11_std,0.0,0.0,0.0,0.04195236346164261,0.008390472692328522
mfcc_6_mean,0.0,0.0,0.0027776524694718614,0.0,0.0005555304938943723
