feature,f_score
spectral_flux_mean,588.3731029510205
dct_energy_mean,523.9885942809924
ste_mean,523.9885942809924
stft_energy_mean,523.9885942809924
mfcc_7_std,301.35050105802037
mfcc_8_mean,42.453542794932225
mfcc_4_std,40.4671029808913
mfcc_13_mean,22.29955721496092
zcr_mean,21.489098420958154
spectral_entropy_mean,17.530885777470075
mfcc_9_mean,15.869836523442041
mfcc_6_mean,14.35197998275861
mfcc_5_std,12.729584428526858
spectral_centroid_mean,10.59223968283517
ste_std,9.291496497852364
mfcc_3_mean,9.274511523355134
zcr_std,8.083480565276512
spectral_entropy_std,7.9512839253475684
mfcc_2_mean,7.6359364536331755
mfcc_5_mean,7.113953724200782
mfcc_1_std,6.864295572252299
mfcc_10_mean,5.457484112680356
mfcc_2_std,4.935972246124448
mfcc_3_std,4.066015443346658
mfcc_1_mean,3.449090373829398
mdvp_flo,3.2540983606557363
mdvp_fo,3.207950930103134
mfcc_10_std,3.2013764760050574
spectral_rolloff_mean,3.1594753458622487
mdvp_fhi,3.0
mdvp_apq,2.8385122430204524
shimmer_apq5,2.8385122430204524
nhr,2.8038420854367105
dfa,2.493344291618659
mfcc_12_std,2.4816847700155042
shimmer_dda,2.2653317364213197
shimmer_apq3,2.1017756951252444
mdvp_shimmer_db,2.0621376881438556
mfcc_6_std,2.0199005599604165
mdvp_shimmer_percent,1.994531180350917
mfcc_4_mean,1.9427360986324813
mfcc_9_std,1.6153958414441736
hnr,1.5534833227342677
mfcc_11_mean,1.3072766930563353
f0_range,0.8810810810810809
mfcc_13_std,0.8442369292428907
mfcc_8_std,0.6737692631920881
ppe,0.6237084980085965
f0_cv,0.5581179477588691
d2,0.5581179477588666
f0_std,0.5575079346451262
spread1,0.5575079346451262
spread2,0.5518132439488137
rpde,0.5423578867528411
mdvp_ppq,0.5145772848514979
jitter_ddp,0.5127291423346053
mdvp_rap,0.5094640264116759
mdvp_jitter_percent,0.5090421566147549
mdvp_jitter_abs,0.5088586786281737
spectral_spread_mean,0.2877462196212205
mfcc_11_std,0.24857550833762898
mfcc_7_mean,0.22866251197329818
mfcc_12_mean,0.09895388386378505
