feature,mi_score
mfcc_7_std,0.95
mfcc_8_mean,0.8666666666666667
mfcc_13_mean,0.8666666666666667
mfcc_1_std,0.6166666666666667
mfcc_4_std,0.5333333333333333
mfcc_3_mean,0.5055555555555556
mfcc_9_mean,0.47777777777777775
spectral_flux_mean,0.44999999999999996
mdvp_flo,0.44999999999999996
mdvp_fhi,0.4222222222222223
mdvp_fo,0.39444444444444443
spectral_centroid_mean,0.3944444444444444
mfcc_6_mean,0.36666666666666664
spectral_entropy_mean,0.33888888888888885
mfcc_5_mean,0.2972222222222222
ste_mean,0.28333333333333327
mfcc_3_std,0.26944444444444443
ppe,0.21388888888888885
mdvp_apq,0.21388888888888885
mfcc_2_std,0.18611111111111112
spectral_entropy_std,0.1444444444444445
spread1,0.13055555555555554
mdvp_shimmer_db,0.13055555555555554
mdvp_jitter_abs,0.1166666666666667
jitter_ddp,0.1166666666666667
f0_std,0.1166666666666667
zcr_mean,0.11666666666666659
mfcc_11_mean,0.09722222222222221
zcr_std,0.0888888888888889
mfcc_10_mean,0.061111111111111005
shimmer_apq3,0.05555555555555547
shimmer_dda,0.047222222222222165
mdvp_rap,0.047222222222222165
f0_range,0.047222222222222165
dct_energy_mean,0.033333333333333326
mfcc_2_mean,0.033333333333333326
stft_energy_mean,0.033333333333333326
mfcc_1_mean,0.019444444444444486
mfcc_5_std,0.005555555555555536
dfa,0.005555555555555536
mdvp_shimmer_percent,0.0
mdvp_jitter_percent,0.0
mdvp_ppq,0.0
f0_cv,0.0
shimmer_apq5,0.0
hnr,0.0
nhr,0.0
spread2,0.0
ste_std,0.0
d2,0.0
rpde,0.0
mfcc_4_mean,0.0
spectral_spread_mean,0.0
spectral_rolloff_mean,0.0
mfcc_7_mean,0.0
mfcc_9_std,0.0
mfcc_8_std,0.0
mfcc_6_std,0.0
mfcc_10_std,0.0
mfcc_11_std,0.0
mfcc_12_mean,0.0
mfcc_12_std,0.0
mfcc_13_std,0.0
