feature,importance
mfcc_8_mean,0.222024256066919
mfcc_5_mean,0.12604920971107578
mdvp_fo,0.11034432588819365
mfcc_4_std,0.09022602271069716
spectral_entropy_std,0.07379177110297319
mfcc_11_mean,0.06798787047957212
mfcc_7_std,0.06636026825522802
mfcc_9_mean,0.03390960816319206
mfcc_1_mean,0.03120835318134379
zcr_std,0.029661857729965987
mfcc_10_mean,0.028044548884238466
mfcc_1_std,0.027996585685414542
mfcc_3_mean,0.02630154457317486
spectral_flux_mean,0.022012746670889035
spectral_entropy_mean,0.013476216049127169
dct_energy_mean,0.010236795760111543
spectral_rolloff_mean,0.005176426956792917
mfcc_10_std,0.004985604178575021
ste_mean,0.00370303534085149
mfcc_3_std,0.0017459866724794718
mfcc_2_std,0.00154352881639088
mfcc_5_std,0.0012759139223017994
mfcc_13_mean,0.0012629712919719654
mfcc_12_std,0.0003791323821056327
mfcc_13_std,0.00021898786126856105
mfcc_6_mean,7.342753666430532e-05
mfcc_2_mean,2.3487954070586704e-06
spectral_centroid_mean,6.461885521318854e-07
mfcc_9_std,8.547276893278707e-09
zcr_mean,5.968023968242871e-10
ste_std,4.434338653995714e-13
ppe,0.0
spread2,0.0
f0_range,0.0
f0_cv,0.0
rpde,0.0
d2,0.0
dfa,0.0
spread1,0.0
f0_std,0.0
mdvp_flo,0.0
mdvp_apq,0.0
shimmer_apq5,0.0
shimmer_dda,0.0
nhr,0.0
hnr,0.0
mdvp_fhi,0.0
mdvp_rap,0.0
mdvp_shimmer_percent,0.0
jitter_ddp,0.0
mdvp_ppq,0.0
mdvp_jitter_percent,0.0
mdvp_jitter_abs,0.0
shimmer_apq3,0.0
mdvp_shimmer_db,0.0
mfcc_4_mean,0.0
stft_energy_mean,0.0
spectral_spread_mean,0.0
mfcc_6_std,0.0
mfcc_8_std,0.0
mfcc_7_mean,0.0
mfcc_11_std,0.0
mfcc_12_mean,0.0
